iter	Passed	Remaining
0	57	57631
1	57	28926
2	58	19347
3	58	14562
4	59	11763
5	59	9834
6	60	8552
7	60	7514
8	60	6705
9	61	6055
10	61	5523
11	61	5082
12	61	4704
13	62	4381
14	63	4143
15	63	3899
16	63	3680
17	63	3487
18	64	3312
19	64	3155
20	64	3015
21	64	2886
22	65	2769
23	65	2662
24	65	2564
25	65	2471
26	66	2390
27	66	2311
28	66	2238
29	67	2169
30	67	2104
31	67	2045
32	67	1989
33	68	1936
34	68	1886
35	68	1840
36	68	1795
37	69	1752
38	69	1713
39	69	1674
40	70	1638
41	70	1604
42	70	1571
43	70	1540
44	71	1523
45	72	1495
46	72	1469
47	72	1443
48	73	1418
49	73	1394
50	73	1370
51	73	1347
52	74	1324
53	74	1303
54	74	1282
55	74	1262
56	75	1242
57	75	1223
58	75	1204
59	75	1187
60	76	1171
61	76	1155
62	76	1139
63	76	1124
64	77	1110
65	77	1096
66	77	1082
67	77	1068
68	78	1055
69	78	1042
70	78	1029
71	78	1017
72	79	1005
73	79	994
74	79	982
75	79	972
76	80	962
77	80	951
78	80	941
79	81	931
80	81	922
81	81	912
82	81	901
83	81	892
84	82	883
85	82	874
86	82	865
87	82	856
88	82	848
89	83	840
90	83	833
91	83	825
92	83	817
93	84	810
94	84	803
95	84	796
96	84	789
97	85	783
98	85	776
99	85	770
100	85	764
101	86	757
102	86	751
103	86	745
104	86	739
105	87	734
106	87	728
107	87	723
108	87	717
109	88	712
110	88	707
111	88	702
112	88	697
113	89	691
114	89	687
115	89	681
116	89	676
117	89	671
118	90	666
119	90	662
120	90	657
121	90	652
122	90	648
123	91	644
124	91	640
125	91	636
126	92	632
127	92	628
128	92	624
129	92	620
130	93	617
131	93	613
132	93	609
133	93	606
134	94	602
135	94	598
136	94	595
137	94	592
138	95	589
139	95	585
140	95	582
141	95	578
142	95	574
143	96	571
144	96	568
145	96	565
146	96	562
147	97	559
148	97	555
149	97	552
150	97	549
151	97	546
152	98	543
153	98	541
154	98	538
155	99	535
156	99	533
157	99	530
158	99	527
159	100	525
160	100	521
161	100	518
162	100	516
163	100	513
164	101	511
165	101	508
166	101	506
167	101	503
168	101	501
169	102	499
170	102	496
171	102	494
172	103	492
173	103	490
174	103	488
175	103	486
176	104	483
177	104	481
178	104	479
179	104	477
180	105	475
181	105	473
182	105	471
183	105	469
184	106	467
185	106	464
186	106	462
187	106	460
188	106	458
189	107	456
190	107	454
191	107	452
192	107	450
193	108	449
194	108	447
195	108	445
196	108	443
197	109	441
198	109	439
199	109	438
200	109	436
201	109	434
202	110	432
203	110	430
204	110	429
205	111	428
206	111	426
207	111	424
208	111	423
209	112	421
210	112	419
211	112	418
212	112	416
213	113	415
214	113	413
215	113	411
216	113	409
217	113	408
218	114	407
219	114	405
220	115	406
221	115	404
222	115	403
223	116	402
224	116	400
225	116	399
226	116	398
227	117	396
228	117	395
229	117	393
230	117	392
231	118	391
232	118	389
233	118	388
234	118	387
235	119	385
236	119	384
237	119	383
238	119	381
239	120	380
240	120	378
241	120	377
242	120	376
